Organization-Wide Defaults		Organization-Wide Defaults Help  
Role: Australia_AustraliaDiv_NSW/ACT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_SA/NT
Role: Australia_AustraliaDiv_SA/NT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_VIC/TAS
Role: Australia_AustraliaDiv_VIC/TAS
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_WA
Role: Australia_AustraliaDiv_WA
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandReg
Role: NewZealand_NewZealandDiv_NewZealandReg
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_East
Role: Ukraine_UkraineDiv_East
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_North
Role: Ukraine_UkraineDiv_North
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_South
Role: Ukraine_UkraineDiv_South
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_West
Role: Ukraine_UkraineDiv_West
Read/Write
 
Return Detail Sharing Rules	 	Return Detail Sharing Rules Help  
				

No sharing rules specified.
 
Reward Payout Sharing Rules	 	Reward Payout Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
Role: Australia_AustraliaDiv_NSW/ACT
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_SA/NT
Role: Australia_AustraliaDiv_SA/NT
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_VIC/TAS
Role: Australia_AustraliaDiv_VIC/TAS
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_WA
Role: Australia_AustraliaDiv_WA
Read Only
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Read Only
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandReg
Role: NewZealand_NewZealandDiv_NewZealandReg
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_East
Role: Ukraine_UkraineDiv_East
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_North
Role: Ukraine_UkraineDiv_North
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_South
Role: Ukraine_UkraineDiv_South
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_West
Role: Ukraine_UkraineDiv_West
Read Only
 
Reward Slab Sharing Rules	 	Reward Slab Sharing Rules Help  
				

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia
Role: Australia
Read Only
Edit | Del
Owner in Role: NewZealand
Role: NewZealand
Read Only
Edit | Del
Owner in Role: Ukraine
Role: Ukraine
Read Only
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Route Sharing Rules	 	Route Sharing Rules Help  
				

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia
Role: Australia
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv
Role: Australia_AustraliaDiv
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
Role: Australia_AustraliaDiv_NSW/ACT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_SA/NT
Role: Australia_AustraliaDiv_SA/NT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_VIC/TAS
Role: Australia_AustraliaDiv_VIC/TAS
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_WA
Role: Australia_AustraliaDiv_WA
Read/Write
Edit | Del
Owner in Role: NewZealand
Role: NewZealand
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv
Role: NewZealand_NewZealandDiv
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandReg
Role: NewZealand_NewZealandDiv_NewZealandReg
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_East
Role: Ukraine_UkraineDiv_East
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_North
Role: Ukraine_UkraineDiv_North
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_South
Role: Ukraine_UkraineDiv_South
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_West
Role: Ukraine_UkraineDiv_West
Read/Write
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Sales Fundamental Period Sharing Rules	 	Sales Fundamental Period Sharing Rules Help  
				

No sharing rules specified.
 
Sales Fundamental Tracking Sharing Rules	 	Sales Fundamental Tracking Sharing Rules Help  
			

No sharing rules specified.
 
Sales Org(Deprecated) Sharing Rules	 	Sales Org(Deprecated) Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Sales Return Sharing Rules	 	Sales Return Sharing Rules Help  
				

No sharing rules specified.
 
Sales Return Request Sharing Rules	 	Sales Return Request Sharing Rules Help  
			

No sharing rules specified.
 
Sales Return SEN Sharing Rules	 	Sales Return SEN Sharing Rules Help  
			

No sharing rules specified.
 
Scheme Sharing Rules	 	Scheme Sharing Rules Help  
			

No sharing rules specified.
 
Scheme Apply Detail Sharing Rules	 	Scheme Apply Detail Sharing Rules Help  
			

No sharing rules specified.
 
Slab Sharing Rules	 	Slab Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read/Write
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read/Write
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read/Write
 
Standard List Master Sharing Rules	 	Standard List Master Sharing Rules Help  
				

No sharing rules specified.
 
Stock Allocation Sharing Rules	 	Stock Allocation Sharing Rules Help  
			

No sharing rules specified.
 
Stock Proposal Sharing Rules	 	Stock Proposal Sharing Rules Help  
			

No sharing rules specified.
 
Stock Reconciliation Sharing Rules	 	Stock Reconciliation Sharing Rules Help  
			

No sharing rules specified.
 
Store Hierarchy Sharing Rules	 	Store Hierarchy Sharing Rules Help  
			

No sharing rules specified.
 
Suggested Load Sharing Rules	 	Suggested Load Sharing Rules Help  
			

No sharing rules specified.
 
Survey Sharing Rules	 	Survey Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia
Role: Australia
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv
Role: Australia_AustraliaDiv
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
Role: Australia_AustraliaDiv_NSW/ACT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_SA/NT
Role: Australia_AustraliaDiv_SA/NT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_VIC/TAS
Role: Australia_AustraliaDiv_VIC/TAS
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_WA
Role: Australia_AustraliaDiv_WA
Read/Write
Edit | Del
Owner in Role: NewZealand
Role: NewZealand
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv
Role: NewZealand_NewZealandDiv
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandReg
Role: NewZealand_NewZealandDiv_NewZealandReg
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_East
Role: Ukraine_UkraineDiv_East
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_North
Role: Ukraine_UkraineDiv_North
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_South
Role: Ukraine_UkraineDiv_South
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_West
Role: Ukraine_UkraineDiv_West
Read/Write
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Survey Image Sharing Rules	 	Survey Image Sharing Rules Help  
				

No sharing rules specified.
 
Survey Result Sharing Rules	 	Survey Result Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
Role: Australia_AustraliaDiv_NSW/ACT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_SA/NT
Role: Australia_AustraliaDiv_SA/NT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_VIC/TAS
Role: Australia_AustraliaDiv_VIC/TAS
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_WA
Role: Australia_AustraliaDiv_WA
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandReg
Role: NewZealand_NewZealandDiv_NewZealandReg
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_East
Role: Ukraine_UkraineDiv_East
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_North
Role: Ukraine_UkraineDiv_North
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_South
Role: Ukraine_UkraineDiv_South
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_West
Role: Ukraine_UkraineDiv_West
Read/Write
 
Survey Result (DEPRECATED) Sharing Rules	 	Survey Result (DEPRECATED) Sharing Rules Help  
				

No sharing rules specified.
 
Survey Result Detail Answer Option Sharing Rules	 	Survey Result Detail Answer Option Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
Role: Australia_AustraliaDiv_NSW/ACT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandReg
Role: NewZealand_NewZealandDiv_NewZealandReg
Read/Write
 
Survey Target Query Sharing Rules	 	Survey Target Query Sharing Rules Help  
				

No sharing rules specified.
 
Target Sharing Rules	 	Target Sharing Rules Help  
			

No sharing rules specified.
 
Target Detail Sharing Rules	 	Target Detail Sharing Rules Help  
			

No sharing rules specified.
 
Tax Sharing Rules	 	Tax Sharing Rules Help  
			

No sharing rules specified.
 
Tax Classification(Deprecated) Sharing Rules	 	Tax Classification(Deprecated) Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Tax Group Sharing Rules	 	Tax Group Sharing Rules Help  
				

No sharing rules specified.
 
Tax Mapping Sharing Rules	 	Tax Mapping Sharing Rules Help  
			

No sharing rules specified.
 
Territory Sharing Rules	 	Territory Sharing Rules Help  
			

No sharing rules specified.
 
Territory Participant Sharing Rules	 	Territory Participant Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia
Role: Australia
Read Only
Edit | Del
Owner in Role: NewZealand
Role: NewZealand
Read Only
Edit | Del
Owner in Role: Ukraine
Role: Ukraine
Read Only
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Touchpoint Sharing Rules	 	Touchpoint Sharing Rules Help  
				

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia
Role: Australia
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv
Role: Australia_AustraliaDiv
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
Role: Australia_AustraliaDiv_NSW/ACT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_SA/NT
Role: Australia_AustraliaDiv_SA/NT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_VIC/TAS
Role: Australia_AustraliaDiv_VIC/TAS
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_WA
Role: Australia_AustraliaDiv_WA
Read/Write
Edit | Del
Owner in Role: NewZealand
Role: NewZealand
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv
Role: NewZealand_NewZealandDiv
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandReg
Role: NewZealand_NewZealandDiv_NewZealandReg
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_East
Role: Ukraine_UkraineDiv_East
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_North
Role: Ukraine_UkraineDiv_North
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_South
Role: Ukraine_UkraineDiv_South
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_West
Role: Ukraine_UkraineDiv_West
Read/Write
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Touchpoint Mapping Sharing Rules	 	Touchpoint Mapping Sharing Rules Help  
				

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Touchpoint Tracking Sharing Rules	 	Touchpoint Tracking Sharing Rules Help  
				

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
Role: Australia_AustraliaDiv_NSW/ACT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_SA/NT
Role: Australia_AustraliaDiv_SA/NT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_VIC/TAS
Role: Australia_AustraliaDiv_VIC/TAS
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_WA
Role: Australia_AustraliaDiv_WA
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandReg
Role: NewZealand_NewZealandDiv_NewZealandReg
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_East
Role: Ukraine_UkraineDiv_East
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_North
Role: Ukraine_UkraineDiv_North
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_South
Role: Ukraine_UkraineDiv_South
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_West
Role: Ukraine_UkraineDiv_West
Read/Write
 
Upload File Column Sharing Rules	 	Upload File Column Sharing Rules Help  
				

No sharing rules specified.
 
Upload Status Sharing Rules	 	Upload Status Sharing Rules Help  
			

No sharing rules specified.
 
Van Delivery Tracking Sharing Rules	 	Van Delivery Tracking Sharing Rules Help  
			

No sharing rules specified.
 
Van Unload Sharing Rules	 	Van Unload Sharing Rules Help  
			

No sharing rules specified.
 
Visit Detail Sharing Rules	 	Visit Detail Sharing Rules Help  
			

No sharing rules specified.
 
Visit Frequency Sharing Rules	 	Visit Frequency Sharing Rules Help  
			

No sharing rules specified.
 
Visit Plan Sharing Rules	 	Visit Plan Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read/Write
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read/Write
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read/Write

